"Source:","/Users/lijue/Data/Project/Tfmini_Tower/TfminiPlus_Tower/TPT_PCB/TPT_PCB.sch"
"Date:","2021 April 28, Wednesday 22:58:25"
"Tool:","Eeschema (5.1.9-0-10_14)"
"Component Count:","55"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","10uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C2","12pF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C3","12pF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C4","12pF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C5","12pF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C6","1uF/X7R","Capacitor_SMD:C_0805_2012Metric","~","",""
"C7","104","Capacitor_SMD:C_0805_2012Metric","~","",""
"C8","1uF/X7R","Capacitor_SMD:C_0805_2012Metric","~","",""
"C9","104","Capacitor_SMD:C_0805_2012Metric","~","",""
"C10","104","Capacitor_SMD:C_0805_2012Metric","~","",""
"C11","104","Capacitor_SMD:C_0805_2012Metric","~","",""
"C12","104","Capacitor_SMD:C_0805_2012Metric","~","",""
"C13","104","Capacitor_SMD:C_0805_2012Metric","~","",""
"C14","104","Capacitor_SMD:C_0805_2012Metric","~","",""
"D1","LED_GREEN","LED_SMD:LED_0805_2012Metric","~","",""
"D2","LED_GREEN","LED_SMD:LED_0805_2012Metric","~","",""
"D3","LED_GREEN","LED_SMD:LED_0805_2012Metric","~","",""
"D4","LED_GREEN","LED_SMD:LED_0805_2012Metric","~","",""
"D5","LED_GREEN","LED_SMD:LED_0805_2012Metric","~","",""
"D6","LED_RED","LED_SMD:LED_0805_2012Metric","~","",""
"H1","MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","",""
"H2","MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","",""
"H3","MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","",""
"H4","MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","",""
"J1","Conn_01x04","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","~","",""
"J2","Conn_01x04","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","~","",""
"J3","Conn_01x04","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","~","",""
"J4","Conn_01x04","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","~","",""
"J5","Conn_01x04","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical","~","",""
"J6","SWD","Connector_PinSocket_1.27mm:PinSocket_2x05_P1.27mm_Vertical_SMD","~","",""
"J7","Power","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~","",""
"J8","Conn_01x06","Connector_JST:JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal","~","",""
"R1","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R2","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R3","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R4","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R5","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R6","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R7","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R8","1M","Resistor_SMD:R_0805_2012Metric","~","",""
"R9","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R10","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R11","1k","Resistor_SMD:R_0805_2012Metric","~","",""
"R12","1k","Resistor_SMD:R_0805_2012Metric","~","",""
"R13","1k","Resistor_SMD:R_0805_2012Metric","~","",""
"R14","1k","Resistor_SMD:R_0805_2012Metric","~","",""
"R15","1k","Resistor_SMD:R_0805_2012Metric","~","",""
"R16","1k","Resistor_SMD:R_0805_2012Metric","~","",""
"R17","100k","Resistor_SMD:R_0805_2012Metric","~","",""
"SW1","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","",""
"U1","TCA9548APWR","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tca9548a.pdf","",""
"U2","RT9013","Lizhou_Lib:SOT94P279X129-5N","","",""
"U3","STM32F103RCT6","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00191185.pdf","",""
"Y1","8MHz","Lizhou_Lib:XTAL_ABLS-8.000MHZ-B2-T","~","",""
"Y2","32.768kHz","Lizhou_Lib:XTAL_AB26TRB-32.768KHZ-T","~","",""
